"point_of_sale_id","super_catalog_id","unidades_pedidas","precio_minimo"
1679,"20800756440",1.000,77.500
1710,"20800756440",3.000,78.080
1720,"20800756440",2.000,77.660
1824,"20800756440",4.000,78.160
2063,"20800756440",5.000,80.170
2087,"20800756440",3.000,82.190
2199,"20800756440",1.000,82.190
2274,"20800756440",3.000,80.680
1183,"20800756457",5.000,131.880
1477,"20800756457",1.000,128.450
1576,"20800756457",3.000,128.450
1679,"20800756457",5.000,127.510
1681,"20800756457",1.000,136.640
1696,"20800756457",1.000,135.210
1720,"20800756457",2.000,127.760
2277,"20800756457",1.000,131.880
1291,"20800790222",1.000,235.230
1311,"20800790222",1.000,235.230
1517,"20800790222",2.000,235.230
1679,"20800790222",5.000,227.480
2078,"20800790222",5.000,242.510
2119,"20800790222",3.000,231.520
2237,"20800790222",2.000,243.710
2305,"20800790222",1.000,236.730
1097,"20800790246",1.000,493.260
1114,"20800790246",1.000,480.890
